1doc_id;name;path;Language;Category;Part_of_Speech;version_id_FK;downloadable
4;BASE-tables-adverbes.xls;/var/www/html/Projet/databasewc/1/French/free/adverb/docs/BASE-tables-adverbes.xls;French;Free;Adverb;1;0
5;proprietes_v1.doc;/var/www/html/Projet/databasewc/1/French/free/adverb/docs/proprietes_v1.doc;French;Free;Adverb;1;1
6;tdt-adverbes.xls;/var/www/html/Projet/databasewc/1/French/free/adverb/docs/tdt-adverbes.xls;French;Free;Adverb;1;0
7;ANA-ANS.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/ANA-ANS.xls;French;Free;Noun;1;0
8;AP-IMP.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/AP-IMP.xls;French;Free;Noun;1;0
9;AP.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/AP.xls;French;Free;Noun;1;0
10;BASE-tables-noms.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/BASE-tables-noms.xls;French;Free;Noun;1;0
11;Exemples.txt;/var/www/html/Projet/databasewc/1/French/free/noun/docs/Exemples.txt;French;Free;Noun;1;0
12;FD-Pivaut.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/FD-Pivaut.xls;French;Free;Noun;1;0
13;Noms-PAS-LA.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/Noms-PAS-LA.xls;French;Free;Noun;1;0
14;Notes-noms.txt;/var/www/html/Projet/databasewc/1/French/free/noun/docs/Notes-noms.txt;French;Free;Noun;1;0
15;Prop+.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/Prop+.xls;French;Free;Noun;1;0
16;"extraits these andn-ansn.xls";"/var/www/html/Projet/databasewc/1/French/free/noun/docs/extraits these andn-ansn.xls";French;Free;Noun;1;0
17;"liste Vsup noms.txt";"/var/www/html/Projet/databasewc/1/French/free/noun/docs/liste Vsup noms.txt";French;Free;Noun;1;0
18;liste-tables-noms.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/liste-tables-noms.xls;French;Free;Noun;1;0
19;propNraj.doc;/var/www/html/Projet/databasewc/1/French/free/noun/docs/propNraj.doc;French;Free;Noun;1;0
20;tdt-noms-predicatifs.xls;/var/www/html/Projet/databasewc/1/French/free/noun/docs/tdt-noms-predicatifs.xls;French;Free;Noun;1;0
21;BASE-tables-verbes.xls;/var/www/html/Projet/databasewc/1/French/free/verb/docs/BASE-tables-verbes.xls;French;Free;Verb;1;0
22;"Codage des TILDES - fev 10.xls";"/var/www/html/Projet/databasewc/1/French/free/verb/docs/Codage des TILDES - fev 10.xls";French;Free;Verb;1;0
23;Consignes.txt;/var/www/html/Projet/databasewc/1/French/free/verb/docs/Consignes.txt;French;Free;Verb;1;0
24;Couleur_groupes.xls;/var/www/html/Projet/databasewc/1/French/free/verb/docs/Couleur_groupes.xls;French;Free;Verb;1;0
25;"Entrees a coder en priorite.txt";"/var/www/html/Projet/databasewc/1/French/free/verb/docs/Entrees a coder en priorite.txt";French;Free;Verb;1;0
26;"Fiches a revoir ajoutees dans les tables - Chris.x";"/var/www/html/Projet/databasewc/1/French/free/verb/docs/Fiches a revoir ajoutees dans les tables - Chris.xls";French;Free;Verb;1;0
27;Notes-verbes.txt;/var/www/html/Projet/databasewc/1/French/free/verb/docs/Notes-verbes.txt;French;Free;Verb;1;0
28;"Suppressions dans l'index.xls";"/var/www/html/Projet/databasewc/1/French/free/verb/docs/Suppressions dans l'index.xls";French;Free;Verb;1;0
